x,y,z,energy_eV
616477.2518864125,56356.50307210453,-112646.88005801747,7042.791411691082
623675.931406356,54384.832163161,-119626.14064772747,6340.463182270365
636270.2258248751,52042.790163855236,-127720.25739542602,5708.173225035647
638394.9670706238,54994.00709486355,-129156.93118800278,5138.93711395176
652018.7140532302,57372.2253836725,-128865.30353141773,4626.466930842997
660577.5089882573,61919.14562403307,-128842.5690126414,4165.101807545634
663805.1899463579,58218.755390687315,-128371.1668681049,3749.745394604795
665965.6298835548,57332.27834817654,-128245.55177626396,3375.80956577994
676251.704051377,42760.75370687304,-125977.85557754662,3039.1637365054858
676483.6086501617,42676.68694358301,-125832.42000181586,2736.089236466157
676496.2956958698,42671.36059801351,-125829.42680126513,2463.238232275626
677554.1289969003,43246.61106723287,-125619.48361468049,2217.5967465085278
677886.6649288851,43013.188325841,-125774.3809518436,1996.4513645852396
678286.1247635811,43503.79273584606,-126180.65618699057,1797.3592617457143
678712.4334355703,43941.90630561023,-126371.8287324422,1618.12121902315
680835.662918706,41702.85732497226,-127114.1428335104,1456.757330145495
681401.6768660735,41667.62386790437,-126930.62280034157,1311.4851310174122
681512.5009734161,41660.48555124903,-126955.90944664167,1180.699910195731
683686.7255117717,42690.69592645157,-127681.6965560927,1062.9569828631927
684116.4483168846,42934.25613094054,-127738.04621629369,956.955732494564
688178.53558426,43256.18121993087,-126764.71442961747,861.5252439355493
689261.9374518237,43268.653327765955,-128152.15063353632,775.611369194054
692246.6292005952,43740.671214083086,-127964.91211763641,698.2650830694391
692599.5771344039,43940.22467112072,-127541.69550022834,628.6319999932623
694503.3921917236,43758.534668693515,-129621.48458862302,565.9429362820229
694787.0841969154,43554.800779982645,-129757.55049623657,509.50541355029753
695102.758239594,43475.74509194509,-129373.8729251972,458.6960094289382
696271.6672095348,42647.126590757645,-129182.43354698099,412.9534710925344
696503.3157134674,42531.10928378113,-128864.75549344037,371.7725155265199
696821.0369660576,42510.920813421115,-128780.61002043658,334.698248050191
697566.5621166369,42232.22076427172,-128599.90794485333,301.32113744130766
697684.0000244817,42298.38742988579,-128555.14445357323,271.2724921563019
697900.2744206465,42477.09945502205,-128752.62919015303,244.22038767534102
697919.132035163,42459.960393881855,-128779.69212330559,219.86599998472528
699828.0976516918,40578.444219247314,-127720.48429177317,197.94030469538978
701512.4045586297,41238.95946939373,-129042.64186554392,178.2011053351847
702451.4967564802,41722.518279086544,-130195.7492146975,160.43035798873967
702845.2576261114,41852.92692638172,-130235.77866032562,144.43176273224486
704172.1858720669,40969.06723355263,-129755.67344769472,130.02859525756116
704436.0488980967,40906.56489082569,-129755.9235009381,117.06175473326142
704731.2264759188,41069.65073239513,-129858.69394865289,105.38800633880875
705228.6692593518,40614.52804948541,-130557.38278886097,94.87839905848433
705304.6233435932,40547.83463805961,-130519.74695923047,85.41684125763824
