x_1,y_1,z_1,E_1_eV,x_2,y_2,z_2,E_2_eV,x_3,y_3,z_3,E_3_eV,x_4,y_4,z_4,E_4_eV,x_5,y_5,z_5,E_5_eV,x_6,y_6,z_6,E_6_eV,x_7,y_7,z_7,E_7_eV,x_8,y_8,z_8,E_8_eV,x_9,y_9,z_9,E_9_eV,x_10,y_10,z_10,E_10_eV
140.67295580203668,-0.8798015126510768,5.853503860040542,333.5434223690713,181.98263553206507,-30.744353126403066,7.263894662386056,333.5434223690713,289.5152919968593,-64.03529163328399,-40.43805138570074,333.5434223690713,133.05244151271734,-2.239106461899297,-31.711789469838465,333.5434223690713,270.06366536400134,70.37072152265084,43.533179432409014,333.5434223690713,233.7575366711075,-125.31719698941906,-23.959586207809842,333.5434223690713,240.9696714014868,33.42501931086492,-26.50148118644913,333.5434223690713,141.49426606604135,30.09920428192358,-1.393144254993653,333.5434223690713,213.95213064770343,-103.68423399369628,-15.882841486013758,333.5434223690713,235.07619585626497,-51.83556412549847,-8.989539533078846,333.5434223690713
151.61686248787194,-11.158618223928865,3.9880480846541175,300.2814744319894,182.50750081641957,-31.366141228875577,7.22769343968246,300.2814744319894,292.9871609461668,-59.177551939450744,-40.29969753164674,300.2814744319894,140.77870989862313,0.48853210058769125,-42.385118829868674,300.2814744319894,273.66981797596065,68.10479959545337,44.911074602134576,300.2814744319894,238.42602053357376,-125.46768445660031,-27.529862320539014,300.2814744319894,253.81154902730623,18.40274549531234,-21.398986283201936,300.2814744319894,145.75771345258295,26.675538993161773,-5.723005731930497,300.2814744319894,217.95432110627746,-107.8641952441052,-16.38975852703861,300.2814744319894,261.65251548885186,-59.018479762490806,-17.722827825607293,300.2814744319894
155.01319022826132,-6.172796245688476,4.895199715651587,270.336507452622,220.21622190911899,-10.622115957930813,14.451240637482778,270.336507452622,307.05220969528295,-54.688270202166294,-32.94103536401911,270.336507452622,141.20632203297163,0.4287491329787229,-42.71743972271299,270.336507452622,281.6393808317905,78.81819172512839,42.05209239444061,270.336507452622,240.84325981737675,-127.06731674780752,-26.130812802044055,270.336507452622,265.72815720538256,17.128253880473473,-26.833769673650398,270.336507452622,174.31516212025585,23.257054270449622,9.638774612243914,270.336507452622,228.40753585885489,-104.69827722318995,-22.629328094061577,270.336507452622,270.4543254980745,-49.02933708712912,-22.874855824294247,270.336507452622
159.15975580787492,-10.80881074498705,2.6617515044726736,243.37774216648796,227.82822696063897,-13.19532326937573,12.704626698431476,243.37774216648796,313.641580881208,-53.895074290120625,-28.940534762546054,243.37774216648796,146.382629246533,-5.180605796510107,-42.91406633233405,243.37774216648796,285.4515491061625,81.76222449387726,44.24541241509354,243.37774216648796,246.47126008657548,-128.9427992370986,-28.67616590687066,243.37774216648796,270.1537244248193,19.41907958318774,-30.34632150999401,243.37774216648796,187.11373151015644,10.125719885962331,15.824109157722088,243.37774216648796,247.21367792402378,-110.0055942239009,-0.19111712651749713,243.37774216648796,271.65227058928605,-48.8644218844658,-23.41892887568754,243.37774216648796
160.64414650806654,-10.032730652732866,2.3722990408865563,219.10738560694898,231.59977719807173,-15.756444083056628,8.081044918744041,219.10738560694898,316.0637442977593,-55.02906377388461,-25.659209742491043,219.10738560694898,147.6725767514834,-3.2959712391255245,-42.53682506130796,219.10738560694898,286.8879849157498,82.36087833047965,45.75222797292091,219.10738560694898,258.59550068571815,-117.23288144750205,-40.21359576873005,219.10738560694898,272.4387971913639,19.494912115324368,-29.493141288121258,219.10738560694898,192.1628859429044,5.887869656002112,18.516108298243484,219.10738560694898,247.62529274185857,-109.683280831174,-0.703182348962707,219.10738560694898,279.6824086996423,-46.47469470699129,-19.437413836187442,219.10738560694898
167.75594392791726,-2.8550862243190682,6.430102424434969,197.25734161290418,232.83511406393347,-16.62240743421305,8.386455289232131,197.25734161290418,316.0685364854732,-55.025690688768,-25.657251932993372,197.25734161290418,149.10704167858412,-3.020601190094563,-42.558635532291504,197.25734161290418,289.97614785976754,83.49344992711652,45.279146635651806,197.25734161290418,267.21998856269704,-115.02799516537426,-42.46317168309606,197.25734161290418,274.423073899266,19.884386312609326,-28.15142125934779,197.25734161290418,193.03820372613558,6.241329126706254,18.181280664810185,197.25734161290418,259.2844843645872,-107.02387447749877,7.153817727171188,197.25734161290418,295.4407722780126,-21.212939556156012,-15.52072744022964,197.25734161290418
175.6254899520227,3.2671907878370643,-5.17740153574781,177.5862493744982,236.50282224064412,-18.539104781615325,10.976869379752973,177.5862493744982,317.7426924684183,-54.303460403580544,-24.754510435166868,177.5862493744982,155.1699933882409,-6.191391297928012,-46.69350759109757,177.5862493744982,296.8941399832279,91.97624864806517,38.83391292910976,177.5862493744982,274.02392120404176,-116.61680322626185,-45.990909942288376,177.5862493744982,274.62457104092306,19.566961594698057,-28.245676523265292,177.5862493744982,195.22911841742473,6.293032425131588,20.703689657839043,177.5862493744982,260.79931343339643,-107.1322292831017,9.324669496642082,177.5862493744982,299.9203963663963,-20.354265804609064,-13.380405938708318,177.5862493744982
179.45493556371184,5.763656103627158,-0.22973092069006285,159.8768173039111,237.0596222673191,-18.70153979478845,10.522433009810955,159.8768173039111,323.42881840304256,-54.92164787624778,-22.54223755142864,159.8768173039111,156.34264829926454,-5.078536844443803,-46.46576185535353,159.8768173039111,300.1827231101451,94.2283867927396,38.11537222256426,159.8768173039111,275.64619419654963,-115.41339816764645,-44.47369840777935,159.8768173039111,277.261118520084,18.853958383983485,-27.066349288480037,159.8768173039111,219.9649811092739,23.775860030295693,1.2170394489403726,159.8768173039111,266.24107113691406,-111.68797456473773,10.998904248014112,159.8768173039111,311.63538880689805,-21.308987262056316,-19.290842107640206,159.8768173039111
180.85638139068112,5.540029873041064,0.8132094481220926,143.93342278052938,244.42518214832523,-18.959072865039786,17.818817671807462,143.93342278052938,330.9763392028512,-55.110003574353286,-22.79789422239454,143.93342278052938,166.83472587265743,-10.19535833081434,-38.396033662640804,143.93342278052938,302.9857407116911,98.87066058606823,38.538724892774376,143.93342278052938,284.9829861296008,-112.47030030147954,-37.717741855127805,143.93342278052938,278.0402031832498,19.363349526561233,-25.84089045625644,143.93342278052938,230.51302620290528,37.44349940397177,12.13619002315916,143.93342278052938,283.09336648890076,-116.89801835711518,-7.1716166880981955,143.93342278052938,312.53333881290484,-20.176906095962558,-19.182832964798607,143.93342278052938
185.94915653816443,14.077058396255524,1.7853636089021672,129.57995125670928,246.1750234946505,-20.80729869674505,20.143699864543777,129.57995125670928,331.8498649260445,-56.165336051236835,-23.180354366014356,129.57995125670928,169.35329060675454,-8.71826313334247,-39.77387868413825,129.57995125670928,304.72640650072196,99.769378074502,39.921028134033726,129.57995125670928,286.1389735390418,-111.24856589603931,-37.146349524770734,129.57995125670928,279.177899490345,20.659469397045513,-26.367364231245386,129.57995125670928,240.4128076397842,30.291915019858493,7.657582066108642,129.57995125670928,283.1807801549417,-116.81260299916633,-7.127450946659585,129.57995125670928,319.8536428790352,-15.517424346889042,-14.479149702457672,129.57995125670928
